Summary :
	C	Count	Total
	-	-----	-----
	1	    1	    1
	2	   75	   76
	3	   32	   33
	4	  132	  208
	6	   96	  204
	8	   48	  256

Schema :
	N	P 	Xor PermutationInt64
	-	--	--------------------
	0	 1	0000 0000  0000 0000
	1	 2	0101 0101  0101 0101
	2	 4	0123 0123  0123 0123
	3	 8	0123 4567  0123 4567
	4	16	0123 4567  89AB CDEF

Table :
 Num	PermutationInt64    	C	Value 	Invers	VxA
 ---	--------------------	-	------	------	---
   0	0123 4567  89AB CDEF	1	0 0123	0 0123	1x1
    	                    	 	      	      	   
   1	0123 89AB  4567 CDEF	2	0 0132	0 0132	2x1
   2	0145 2367  89CD ABEF	2	0 0213	0 0213	2x1
   3	0189 45CD  23AB 67EF	2	0 0321	0 0321	2x1
   4	0213 4657  8A9B CEDF	2	0 1023	0 1023	2x1
   5	0213 8A9B  4657 CEDF	2	0 1032	0 1032	2x1
   6	0426 1537  8CAE 9DBF	2	0 2103	0 2103	2x1
   7	048C 159D  26AE 37BF	2	0 2301	0 2301	2x1
   8	082A 4C6E  193B 5D7F	2	0 3120	0 3120	2x1
   9	084C 2A6E  195D 3B7F	2	0 3210	0 3210	2x1
  10	1032 98BA  5476 DCFE	2	1 0132	1 0132	2x1
  11	1054 3276  98DC BAFE	2	1 0213	1 0213	2x1
  12	1098 54DC  32BA 76FE	2	1 0321	1 0321	2x1
  13	2301 AB89  6745 EFCD	2	2 0132	2 0132	2x1
  14	2604 3715  AE8C BF9D	2	2 2103	2 2103	2x1
  15	2A08 6E4C  3B19 7F5D	2	2 3120	2 3120	2x1
  16	3210 BA98  7654 FEDC	2	3 0132	3 0132	2x1
  17	3120 7564  B9A8 FDEC	2	3 1023	3 1023	2x1
  18	3120 B9A8  7564 FDEC	2	3 1032	3 1032	2x1
  19	45CD 0189  67EF 23AB	2	4 0321	4 0321	2x1
  20	4657 0213  CEDF 8A9B	2	4 1023	4 1023	2x1
  21	4C6E 082A  5D7F 193B	2	4 3120	4 3120	2x1
  22	54DC 1098  76FE 32BA	2	5 0321	5 0321	2x1
  23	5173 4062  D9FB C8EA	2	5 2103	5 2103	2x1
  24	51D9 40C8  73FB 62EA	2	5 2301	5 2301	2x1
  25	6723 4501  EFAB CD89	2	6 0213	6 0213	2x1
  26	6E4C 2A08  7F5D 3B19	2	6 3120	6 3120	2x1
  27	6E2A 4C08  7F3B 5D19	2	6 3210	6 3210	2x1
  28	7632 5410  FEBA DC98	2	7 0213	7 0213	2x1
  29	7564 3120  FDEC B9A8	2	7 1023	7 1023	2x1
  30	7351 6240  FBD9 EAC8	2	7 2103	7 2103	2x1
  31	89CD ABEF  0145 2367	2	8 0213	8 0213	2x1
  32	8A9B CEDF  0213 4657	2	8 1023	8 1023	2x1
  33	8CAE 9DBF  0426 1537	2	8 2103	8 2103	2x1
  34	98DC BAFE  1054 3276	2	9 0213	9 0213	2x1
  35	91B3 D5F7  80A2 C4E6	2	9 3120	9 3120	2x1
  36	91D5 B3F7  80C4 A2E6	2	9 3210	9 3210	2x1
  37	AB23 EF67  8901 CD45	2	A 0321	A 0321	2x1
  38	AE8C BF9D  2604 3715	2	A 2103	A 2103	2x1
  39	AE26 BF37  8C04 9D15	2	A 2301	A 2301	2x1
  40	BA32 FE76  9810 DC54	2	B 0321	B 0321	2x1
  41	B9A8 FDEC  3120 7564	2	B 1023	B 1023	2x1
  42	B391 F7D5  A280 E6C4	2	B 3120	B 3120	2x1
  43	CDEF 4567  89AB 0123	2	C 0132	C 0132	2x1
  44	CEDF 8A9B  4657 0213	2	C 1023	C 1023	2x1
  45	CEDF 4657  8A9B 0213	2	C 1032	C 1032	2x1
  46	DCFE 5476  98BA 1032	2	D 0132	D 0132	2x1
  47	D9FB C8EA  5173 4062	2	D 2103	D 2103	2x1
  48	D5F7 91B3  C4E6 80A2	2	D 3120	D 3120	2x1
  49	EFCD 6745  AB89 2301	2	E 0132	E 0132	2x1
  50	EFAB CD89  6723 4501	2	E 0213	E 0213	2x1
  51	EF67 AB23  CD45 8901	2	E 0321	E 0321	2x1
  52	FEDC 7654  BA98 3210	2	F 0132	F 0132	2x1
  53	FEBA DC98  7632 5410	2	F 0213	F 0213	2x1
  54	FE76 BA32  DC54 9810	2	F 0321	F 0321	2x1
  55	FDEC B9A8  7564 3120	2	F 1023	F 1023	2x1
  56	FDEC 7564  B9A8 3120	2	F 1032	F 1032	2x1
  57	FBD9 EAC8  7351 6240	2	F 2103	F 2103	2x1
  58	FB73 EA62  D951 C840	2	F 2301	F 2301	2x1
  59	F7D5 B391  E6C4 A280	2	F 3120	F 3120	2x1
  60	F7B3 D591  E6A2 C480	2	F 3210	F 3210	2x1
  61	1032 5476  98BA DCFE	2	1 0123	1 0123	1x2
  62	2301 6745  AB89 EFCD	2	2 0123	2 0123	1x2
  63	3210 7654  BA98 FEDC	2	3 0123	3 0123	1x2
  64	4567 0123  CDEF 89AB	2	4 0123	4 0123	1x2
  65	5476 1032  DCFE 98BA	2	5 0123	5 0123	1x2
  66	6745 2301  EFCD AB89	2	6 0123	6 0123	1x2
  67	7654 3210  FEDC BA98	2	7 0123	7 0123	1x2
  68	89AB CDEF  0123 4567	2	8 0123	8 0123	1x2
